initiative,instrument,jurisdiction,region,income_group,start_year,year,carbon_price
Singapore carbon tax,Carbon tax,Singapore,East Asia & Pacific,High income,2019,2022,3.685684800235884
Slovenia Carbon tax,Carbon tax,Slovenia,Europe & Central Asia,High income,1996,2022,19.11996
South Africa carbon tax,Carbon tax,South Africa,Sub-Saharan Africa,Upper middle income,2019,2022,9.835192230198139
Spain carbon tax,Carbon tax,Spain,Europe & Central Asia,High income,2014,2022,16.578
Switzerland carbon tax,Carbon tax,Switzerland,Europe & Central Asia,High income,2008,2022,129.85607618223136
Switzerland ETS,ETS,Switzerland,Europe & Central Asia,High income,2008,2022,65.59362
Tamaulipas carbon tax,Carbon tax,Tamaulipas,Latin America & Caribbean,Upper middle income,2022,2022,14.5470488630866
Tianjin pilot ETS,ETS,Tianjin,East Asia & Pacific,Upper middle income,2013,2022,4.4033465433729635
Tokyo CaT,ETS,Tokyo,East Asia & Pacific,High income,2010,2022,4.4189852700491
UK Carbon Price Support,Carbon tax,United Kingdom,Europe & Central Asia,High income,2013,2022,23.6538
UK ETS,ETS,United Kingdom,Europe & Central Asia,High income,2021,2022,98.991153
Ukraine carbon tax,Carbon tax,Ukraine,Europe & Central Asia,Lower middle income,2011,2022,1.0254692376319865
Uruguay CO2 tax,Carbon tax,Uruguay,Latin America & Caribbean,High income,2022,2022,137.2954108806148
Zacatecas carbon tax,Carbon tax,Zacatecas,Latin America & Caribbean,Upper middle income,2017,2022,12.598774391227222
Alberta TIER,ETS,Alberta,North America,High income,2007,2023,48.030739673390975
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2023,3.338991265685532
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2023,7.585637434949787
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2023,6.908182831434116
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2023,6.571810556938415
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2023,3.2859052784692073
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2023,3.40957062149637
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2023,3.2690622484283463
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2023,3.2691882667740577
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2023,6.01686518842584
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2023,6.01686518842584
Austria ETS,ETS,Austria,Europe & Central Asia,High income,2022,2023,35.34374999999999
BC carbon tax,Carbon tax,British Columbia,North America,High income,2008,2023,48.030739673390975
BC OBPS,ETS,British Columbia,North America,High income,2016,2023,18.47336141284268
